"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","skynet1",,,,"User:","kelly"
"Cmdline:","dstat -tcmrd --disk-util -ny --output output/stats_1444187956.csv",,,,"Date:","06 Oct 2015 23:19:16 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"dsk/total",,"sda","net/total",,"system",
06-10 23:20:07,37.389,8.238,42.839,0.0,0.0,11.534,747139072.0,531689472.0,4736757760.0,19267252224.0,0.0,0.0,0.0,0.0,0.0,52191440.0,175825532.0,16476.0,15502.0
06-10 23:20:08,35.939,9.079,40.984,0.0,0.0,13.997,746844160.0,531689472.0,4736757760.0,19267547136.0,0.0,0.0,0.0,0.0,0.0,53109080.0,179172364.0,17030.0,16921.0
06-10 23:20:09,34.097,8.015,43.639,0.0,0.0,14.249,747528192.0,531689472.0,4736757760.0,19266863104.0,0.0,7.0,0.0,32768.0,0.400,51502998.0,173576764.0,16445.0,15663.0
06-10 23:20:10,36.882,8.619,41.191,0.0,0.0,13.308,746708992.0,531689472.0,4736757760.0,19267682304.0,0.0,0.0,0.0,0.0,0.0,53395492.0,179974252.0,16360.0,15486.0
06-10 23:20:11,37.875,8.625,40.625,0.0,0.0,12.875,746676224.0,531689472.0,4736757760.0,19267715072.0,0.0,0.0,0.0,0.0,0.0,53152012.0,179393768.0,16870.0,16501.0
06-10 23:20:12,36.398,8.438,42.443,0.0,0.0,12.720,746610688.0,531689472.0,4736757760.0,19267780608.0,0.0,0.0,0.0,0.0,0.0,52287506.0,176121338.0,16155.0,15178.0
06-10 23:20:13,36.943,8.917,40.255,0.0,0.0,13.885,746577920.0,531689472.0,4736757760.0,19267813376.0,0.0,0.0,0.0,0.0,0.0,54519614.0,183430418.0,15754.0,14800.0
06-10 23:20:14,35.496,9.288,41.730,0.0,0.0,13.486,747360256.0,531693568.0,4736757760.0,19267026944.0,0.0,2.0,0.0,20480.0,0.400,52950272.0,178322000.0,16297.0,15302.0
06-10 23:20:15,36.317,9.591,40.793,0.0,0.0,13.299,746541056.0,531693568.0,4736757760.0,19267846144.0,0.0,3.0,0.0,12288.0,0.0,53923328.0,181667350.0,16369.0,15607.0
06-10 23:20:16,38.119,8.513,41.804,0.0,0.0,11.563,747130880.0,531693568.0,4736757760.0,19267256320.0,0.0,0.0,0.0,0.0,0.0,53249456.0,179622740.0,15897.0,14430.0
06-10 23:20:17,37.312,8.668,41.457,0.0,0.0,12.563,746901504.0,531693568.0,4736757760.0,19267485696.0,0.0,0.0,0.0,0.0,0.0,52791490.0,178015080.0,16680.0,16135.0
06-10 23:20:18,37.674,9.102,42.099,0.0,0.0,11.125,745693184.0,531693568.0,4736757760.0,19268694016.0,0.0,0.0,0.0,0.0,0.0,52616830.0,177312234.0,16295.0,15151.0
06-10 23:20:19,35.623,8.779,43.003,0.0,0.0,12.595,746643456.0,531693568.0,4736757760.0,19267743744.0,0.0,2.0,0.0,12288.0,0.400,52177298.0,175810896.0,16070.0,14955.0
06-10 23:20:20,35.949,8.228,43.544,0.0,0.0,12.278,746446848.0,531693568.0,4736757760.0,19267940352.0,0.0,0.0,0.0,0.0,0.0,51230056.0,172595344.0,16654.0,15822.0
06-10 23:20:21,35.615,8.238,42.205,0.0,0.0,13.942,747495424.0,531693568.0,4736757760.0,19266891776.0,0.0,1.0,0.0,4096.0,0.0,52445212.0,176741434.0,16724.0,15993.0
06-10 23:20:22,36.444,9.962,40.605,0.0,0.0,12.989,746708992.0,531693568.0,4736757760.0,19267678208.0,0.0,0.0,0.0,0.0,0.0,53550662.0,180728474.0,16496.0,15754.0
06-10 23:20:23,37.074,9.710,42.623,0.0,0.0,10.593,747003904.0,531693568.0,4736757760.0,19267383296.0,0.0,0.0,0.0,0.0,0.0,51887674.0,174941914.0,16764.0,16057.0
06-10 23:20:24,37.610,8.931,41.509,0.0,0.0,11.950,746708992.0,531693568.0,4736757760.0,19267678208.0,0.0,0.0,0.0,0.0,0.0,52653878.0,177678526.0,16789.0,16253.0
06-10 23:20:25,35.787,8.122,43.909,0.0,0.0,12.183,747139072.0,531693568.0,4736757760.0,19267248128.0,0.0,2.0,0.0,16384.0,0.400,51295814.0,172763120.0,16390.0,15396.0
06-10 23:20:26,34.772,9.264,43.401,0.0,0.0,12.563,746704896.0,531693568.0,4736757760.0,19267682304.0,0.0,0.0,0.0,0.0,0.0,51614898.0,173687996.0,16085.0,14689.0
06-10 23:20:27,36.157,9.229,42.099,0.0,0.0,12.516,747491328.0,531693568.0,4736757760.0,19266895872.0,0.0,3.0,0.0,12288.0,0.0,52514540.0,176792610.0,16851.0,16160.0
06-10 23:20:28,37.235,9.091,40.847,0.0,0.0,12.827,747233280.0,531693568.0,4736757760.0,19267153920.0,0.0,0.0,0.0,0.0,0.0,52958486.0,178318598.0,16704.0,15927.0
06-10 23:20:29,36.272,9.194,41.814,0.0,0.0,12.720,747102208.0,531693568.0,4736757760.0,19267284992.0,0.0,0.0,0.0,0.0,0.0,52427726.0,176709514.0,16418.0,15752.0
06-10 23:20:30,36.329,8.608,42.911,0.0,0.0,12.152,747102208.0,531693568.0,4736757760.0,19267284992.0,0.0,0.0,0.0,0.0,0.0,51914380.0,174730798.0,16670.0,15867.0
06-10 23:20:31,35.132,10.038,42.033,0.0,0.0,12.798,746446848.0,531693568.0,4736757760.0,19267940352.0,0.0,2.0,0.0,12288.0,0.400,52113996.0,175359892.0,16782.0,16237.0
06-10 23:20:32,38.806,8.955,40.672,0.0,0.0,11.567,746246144.0,531693568.0,4736761856.0,19268136960.0,0.0,0.0,0.0,0.0,0.0,53077070.0,178800014.0,16538.0,15785.0
06-10 23:20:33,35.377,8.812,42.656,0.0,0.0,13.155,746835968.0,531693568.0,4736761856.0,19267547136.0,0.0,2.0,0.0,8192.0,0.0,52437928.0,176402730.0,16507.0,15446.0
06-10 23:20:34,36.431,10.657,40.892,0.0,0.0,12.020,746246144.0,531693568.0,4736761856.0,19268136960.0,0.0,0.0,0.0,0.0,0.0,52840798.0,177981138.0,16667.0,15806.0
06-10 23:20:35,35.768,9.194,41.688,0.0,0.0,13.350,746344448.0,531693568.0,4736761856.0,19268038656.0,0.0,0.0,0.0,0.0,0.0,52762892.0,177815974.0,16083.0,15144.0
06-10 23:20:36,35.488,8.745,42.205,0.0,0.0,13.561,746901504.0,531693568.0,4736761856.0,19267481600.0,0.0,0.0,0.0,0.0,0.0,52416670.0,176839570.0,16807.0,16295.0
06-10 23:20:37,35.975,9.560,42.013,0.0,0.0,12.453,746381312.0,531693568.0,4736761856.0,19268001792.0,0.0,2.0,0.0,20480.0,0.400,52344888.0,176590862.0,16679.0,15864.0
06-10 23:20:38,37.848,8.354,42.152,0.0,0.0,11.646,746479616.0,531693568.0,4736761856.0,19267903488.0,0.0,0.0,0.0,0.0,0.0,52644508.0,177233608.0,16596.0,15697.0
06-10 23:20:39,37.594,9.774,39.975,0.0,0.0,12.657,745852928.0,531693568.0,4736761856.0,19268530176.0,0.0,3.0,0.0,12288.0,0.0,54014596.0,182120512.0,16071.0,14972.0
06-10 23:20:40,33.718,9.487,44.231,0.0,0.0,12.564,746639360.0,531693568.0,4736761856.0,19267743744.0,0.0,0.0,0.0,0.0,0.0,51461488.0,173168844.0,16263.0,15086.0
06-10 23:20:41,37.625,9.125,41.875,0.0,0.0,11.375,746803200.0,531693568.0,4736761856.0,19267579904.0,0.0,0.0,0.0,0.0,0.0,52316076.0,176369360.0,16124.0,14813.0
06-10 23:20:42,33.501,10.414,43.162,0.0,0.0,12.923,746180608.0,531693568.0,4736761856.0,19268202496.0,0.0,0.0,0.0,0.0,0.0,51662492.0,173865228.0,15964.0,14533.0
06-10 23:20:43,35.939,8.701,42.119,0.0,0.0,13.241,747290624.0,531697664.0,4736761856.0,19267088384.0,0.0,2.0,0.0,12288.0,0.400,52464438.0,176737660.0,16276.0,15198.0
06-10 23:20:44,33.972,9.451,43.167,0.0,0.0,13.410,746405888.0,531697664.0,4736761856.0,19267973120.0,0.0,0.0,0.0,0.0,0.0,52041170.0,175419550.0,16356.0,15529.0
06-10 23:20:45,35.544,9.262,42.428,0.0,0.0,12.766,746340352.0,531697664.0,4736761856.0,19268038656.0,0.0,1.0,0.0,4096.0,0.0,51910718.0,175167260.0,16485.0,15356.0
06-10 23:20:46,36.432,9.673,41.960,0.0,0.0,11.935,746995712.0,531697664.0,4736761856.0,19267383296.0,0.0,0.0,0.0,0.0,0.0,52562154.0,176970572.0,16124.0,14956.0
06-10 23:20:47,34.821,9.821,41.837,0.0,0.0,13.520,746799104.0,531697664.0,4736761856.0,19267579904.0,0.0,0.0,0.0,0.0,0.0,53160830.0,179163096.0,16294.0,15513.0
06-10 23:20:48,35.496,9.288,43.130,0.0,0.0,12.087,746536960.0,531697664.0,4736761856.0,19267842048.0,0.0,2.0,0.0,12288.0,0.400,51779650.0,174456568.0,16869.0,16286.0
06-10 23:20:49,35.390,9.698,42.317,0.0,0.0,12.594,746373120.0,531697664.0,4736761856.0,19268005888.0,0.0,0.0,0.0,0.0,0.0,52320362.0,176142294.0,15991.0,14669.0
06-10 23:20:50,34.655,9.079,43.095,0.0,0.0,13.171,746143744.0,531697664.0,4736761856.0,19268235264.0,0.0,0.0,0.0,0.0,0.0,52071686.0,175474430.0,16636.0,15822.0
06-10 23:20:51,37.327,9.206,41.110,0.0,0.0,12.358,746766336.0,531697664.0,4736761856.0,19267612672.0,0.0,1.0,0.0,4096.0,0.0,53362432.0,179784060.0,16348.0,15450.0
06-10 23:20:52,36.181,8.668,42.714,0.0,0.0,12.437,746602496.0,531697664.0,4736761856.0,19267776512.0,0.0,0.0,0.0,0.0,0.0,51496708.0,173345848.0,16893.0,16542.0
06-10 23:20:53,35.570,8.987,41.392,0.0,0.0,14.051,746143744.0,531697664.0,4736761856.0,19268235264.0,0.0,0.0,0.0,0.0,0.0,53157106.0,179288562.0,16707.0,16066.0
06-10 23:20:54,35.159,8.535,43.185,0.127,0.0,12.994,746536960.0,531697664.0,4736761856.0,19267842048.0,0.0,2.0,0.0,12288.0,0.400,51885842.0,174576920.0,16643.0,15758.0
06-10 23:20:55,34.234,9.653,42.857,0.0,0.0,13.256,747094016.0,531697664.0,4736761856.0,19267284992.0,0.0,0.0,0.0,0.0,0.0,52332254.0,176421796.0,16822.0,16088.0
06-10 23:20:56,32.905,10.283,42.931,0.0,0.0,13.882,746536960.0,531697664.0,4736761856.0,19267842048.0,0.0,0.0,0.0,0.0,0.0,52258208.0,176019080.0,16751.0,16178.0
06-10 23:20:57,34.478,8.906,42.621,0.0,0.0,13.995,746930176.0,531697664.0,4736761856.0,19267448832.0,0.0,1.0,0.0,4096.0,0.0,52324752.0,176406984.0,16290.0,15192.0
06-10 23:20:58,35.332,8.546,42.474,0.0,0.0,13.648,746893312.0,531697664.0,4736765952.0,19267481600.0,0.0,0.0,0.0,0.0,0.0,52513240.0,176808114.0,16114.0,15019.0
06-10 23:20:59,36.809,8.920,41.834,0.0,0.0,12.437,746790912.0,531697664.0,4736765952.0,19267584000.0,0.0,2.0,0.0,12288.0,0.400,52269398.0,176117170.0,16790.0,16218.0
06-10 23:21:00,34.224,10.433,42.112,0.0,0.0,13.232,746758144.0,531697664.0,4736765952.0,19267616768.0,0.0,0.0,0.0,0.0,0.0,52663820.0,177356902.0,16762.0,16086.0
06-10 23:21:01,35.930,10.050,41.080,0.0,0.0,12.940,746430464.0,531697664.0,4736765952.0,19267944448.0,0.0,0.0,0.0,0.0,0.0,53344102.0,179914406.0,16149.0,14997.0
06-10 23:21:02,35.750,9.500,42.250,0.0,0.0,12.500,746233856.0,531697664.0,4736765952.0,19268141056.0,0.0,0.0,0.0,0.0,0.0,51981880.0,175143226.0,16561.0,15731.0
06-10 23:21:03,37.079,8.614,42.447,0.0,0.0,11.860,745938944.0,531697664.0,4736765952.0,19268435968.0,0.0,2.0,0.0,8192.0,0.0,51831844.0,174668898.0,16212.0,14971.0
06-10 23:21:04,33.163,8.673,43.367,0.0,0.0,14.796,746758144.0,531697664.0,4736765952.0,19267616768.0,0.0,0.0,0.0,0.0,0.0,51752892.0,174415016.0,16411.0,15564.0
06-10 23:21:05,36.629,9.759,40.938,0.0,0.0,12.674,746856448.0,531701760.0,4736765952.0,19267514368.0,0.0,2.0,0.0,20480.0,0.400,53478924.0,180199738.0,16723.0,16099.0
06-10 23:21:06,35.696,8.861,42.152,0.0,0.0,13.291,746528768.0,531701760.0,4736765952.0,19267842048.0,0.0,0.0,0.0,0.0,0.0,52467210.0,176522942.0,16739.0,16037.0
06-10 23:21:07,35.642,9.068,41.688,0.0,0.0,13.602,746725376.0,531701760.0,4736765952.0,19267645440.0,0.0,0.0,0.0,0.0,0.0,52458360.0,176782476.0,16994.0,16772.0
06-10 23:21:08,37.703,9.988,41.448,0.0,0.0,10.861,746561536.0,531701760.0,4736765952.0,19267809280.0,0.0,0.0,0.0,0.0,0.0,52493598.0,176978094.0,16726.0,16059.0
06-10 23:21:09,34.003,11.292,41.531,0.0,0.0,13.174,747020288.0,531701760.0,4736765952.0,19267350528.0,0.0,3.0,0.0,12288.0,0.0,52548166.0,176836330.0,16811.0,16205.0
06-10 23:21:10,36.802,8.756,42.259,0.0,0.0,12.183,746692608.0,531701760.0,4736765952.0,19267678208.0,0.0,0.0,0.0,0.0,0.0,52417806.0,176641596.0,16820.0,16166.0
06-10 23:21:11,35.375,9.0,42.125,0.0,0.0,13.500,746528768.0,531701760.0,4736765952.0,19267842048.0,0.0,2.0,0.0,12288.0,0.400,51997684.0,175176086.0,16420.0,15658.0
06-10 23:21:12,35.323,9.826,43.905,0.0,0.0,10.945,746528768.0,531701760.0,4736765952.0,19267842048.0,0.0,0.0,0.0,0.0,0.0,50453136.0,170033274.0,16393.0,15428.0
06-10 23:21:13,36.704,9.238,40.949,0.0,0.0,13.109,746172416.0,531701760.0,4736765952.0,19268198400.0,0.0,0.0,0.0,0.0,0.0,52862342.0,178143698.0,16628.0,15937.0
06-10 23:21:14,39.849,8.575,38.462,0.0,0.0,13.115,747249664.0,531701760.0,4736765952.0,19267121152.0,0.0,0.0,0.0,0.0,0.0,55550642.0,187258252.0,16296.0,15874.0
06-10 23:21:15,35.385,8.974,41.795,0.0,0.0,13.846,746860544.0,531701760.0,4736765952.0,19267510272.0,0.0,1.0,0.0,4096.0,0.0,53096560.0,178934706.0,16939.0,16573.0
06-10 23:21:16,36.170,8.636,41.802,0.0,0.0,13.392,746467328.0,531701760.0,4736765952.0,19267903488.0,0.0,0.0,0.0,0.0,0.0,52453538.0,176660510.0,16279.0,15356.0
06-10 23:21:17,36.216,9.273,41.103,0.0,0.0,13.409,747155456.0,531701760.0,4736765952.0,19267215360.0,0.0,2.0,0.0,12288.0,0.400,52944270.0,178231640.0,16828.0,16253.0
06-10 23:21:18,38.048,8.135,41.677,0.0,0.0,12.140,747089920.0,531701760.0,4736765952.0,19267280896.0,0.0,0.0,0.0,0.0,0.0,52493542.0,176791368.0,16704.0,15816.0
06-10 23:21:19,35.377,8.812,44.317,0.0,0.0,11.494,746893312.0,531701760.0,4736765952.0,19267477504.0,0.0,0.0,0.0,0.0,0.0,51005906.0,171920814.0,16170.0,15100.0
06-10 23:21:20,35.741,8.745,43.726,0.0,0.0,11.787,746532864.0,531701760.0,4736765952.0,19267837952.0,0.0,0.0,0.0,0.0,0.0,51386084.0,173316116.0,16149.0,14898.0
06-10 23:21:21,36.421,9.262,42.553,0.0,0.0,11.765,746303488.0,531701760.0,4736765952.0,19268067328.0,0.0,1.0,0.0,4096.0,0.0,51647182.0,174035474.0,16945.0,16488.0
06-10 23:21:22,36.248,10.139,41.698,0.0,0.0,11.914,746106880.0,531701760.0,4736765952.0,19268263936.0,0.0,2.0,0.0,12288.0,0.400,52677364.0,177652686.0,16924.0,16442.0
06-10 23:21:23,37.265,9.536,41.280,0.0,0.0,11.920,745644032.0,531701760.0,4736770048.0,19268722688.0,0.0,0.0,0.0,0.0,0.0,52893302.0,178175064.0,16946.0,16262.0
06-10 23:21:24,35.558,8.216,42.234,0.0,0.0,13.992,746721280.0,531701760.0,4736770048.0,19267645440.0,0.0,0.0,0.0,0.0,0.0,53125092.0,179122560.0,15746.0,14479.0
06-10 23:21:25,36.226,8.176,43.019,0.0,0.0,12.579,746131456.0,531701760.0,4736770048.0,19268235264.0,0.0,0.0,0.0,0.0,0.0,51741904.0,174393590.0,16440.0,15286.0
06-10 23:21:26,37.715,9.951,41.032,0.0,0.0,11.302,746721280.0,531701760.0,4736770048.0,19267645440.0,0.0,0.0,0.0,0.0,0.0,52301686.0,176225660.0,16805.0,15791.0
06-10 23:21:27,33.333,8.974,43.590,0.0,0.0,14.103,746364928.0,531701760.0,4736770048.0,19268001792.0,0.0,4.0,0.0,20480.0,0.400,51703450.0,174078190.0,16763.0,16007.0
06-10 23:21:28,35.516,9.446,42.695,0.0,0.0,12.343,746266624.0,531701760.0,4736770048.0,19268100096.0,0.0,0.0,0.0,0.0,0.0,52052576.0,175230776.0,16617.0,15643.0
